Team,Win-Loss Record,Win %,MOV,ATS +/-
Oregon,13-1-0,92.9%,15.4,-2.3
Ohio St,14-2-0,87.5%,22.8,+3.0
Notre Dame,14-2-0,87.5%,20.6,+9.3
Army,12-2-0,85.7%,15.6,+5.5
Boise St,12-2-0,85.7%,14.7,+0.9
Indiana,11-2-0,84.6%,25.7,+12.8
Memphis,11-2-0,84.6%,11.8,+0.8
BYU,11-2-0,84.6%,11.5,+9.8
Penn St,13-3-0,81.3%,16.6,+1.3
Texas,13-3-0,81.3%,17.7,+0.5
Arizona St,11-3-0,78.6%,10.4,+10.9
S Methodist,11-3-0,78.6%,14.4,+3.0
UNLV,11-3-0,78.6%,14.1,+5.9
Iowa St,11-3-0,78.6%,8.1,-0.5
Georgia,11-3-0,78.6%,10.9,-4.7
Ohio,11-3-0,78.6%,11.1,+7.6
Miami,10-3-0,76.9%,18.6,+1.2
Navy,10-3-0,76.9%,9.2,+5.2
Mississippi,10-3-0,76.9%,24.2,+4.5
Syracuse,10-3-0,76.9%,4.9,+1.6
Marshall,10-3-0,76.9%,8.8,+8.4
Illinois,10-3-0,76.9%,6.6,+6.1
Missouri,10-3-0,76.9%,8.5,-1.1
Sam Hous St,10-3-0,76.9%,3.3,+2.5
Tennessee,10-3-0,76.9%,19.6,+3.8
Clemson,10-4-0,71.4%,11.3,-0.8
Louisiana,10-4-0,71.4%,6.8,-0.9
Colorado,9-4-0,69.2%,9.8,+6.8
Duke,9-4-0,69.2%,1.8,+2.3
Alabama,9-4-0,69.2%,16.4,-1.2
Kansas St,9-4-0,69.2%,7.5,-1.5
TX Christian,9-4-0,69.2%,8.8,+0.7
Connecticut,9-4-0,69.2%,8.8,+7.5
Louisville,9-4-0,69.2%,12.4,+4.0
Buffalo,9-4-0,69.2%,2.5,+4.7
James Mad,9-4-0,69.2%,12.8,+1.7
S Carolina,9-4-0,69.2%,12.4,+7.5
LSU,9-4-0,69.2%,6.2,-2.1
Liberty,8-4-0,66.7%,5.3,-8.8
Miami (OH),9-5-0,64.3%,5.3,+2.5
Jksnville St,9-5-0,64.3%,9.9,+5.2
Tulane,9-5-0,64.3%,14.4,+6.1
Toledo,8-5-0,61.5%,5.1,-1.1
Colorado St,8-5-0,61.5%,-1.4,-2.1
Arkansas St,8-5-0,61.5%,-6.3,-2.2
Baylor,8-5-0,61.5%,7.7,+4.5
Michigan,8-5-0,61.5%,2.1,+2.4
Texas St,8-5-0,61.5%,12.0,-1.2
GA Southern,8-5-0,61.5%,0.4,+2.5
Florida,8-5-0,61.5%,5.2,+5.5
Iowa,8-5-0,61.5%,9.8,+4.1
Texas Tech,8-5-0,61.5%,2.8,-0.3
Texas A&M,8-5-0,61.5%,8.2,-3.4
Wash State,8-5-0,61.5%,6.7,-1.2
E Carolina,8-5-0,61.5%,4.7,+1.4
N Illinois,8-5-0,61.5%,6.0,+0.3
Minnesota,8-5-0,61.5%,9.2,+6.4
W Kentucky,8-6-0,57.1%,0.3,-2.7
San Jose St,7-6-0,53.9%,0.8,+1.5
Pittsburgh,7-6-0,53.9%,4.5,+1.2
S Florida,7-6-0,53.9%,2.4,+0.1
GA Tech,7-6-0,53.9%,3.3,+1.7
Bowling Grn,7-6-0,53.9%,5.5,+0.6
Arkansas,7-6-0,53.9%,5.9,+2.8
Nebraska,7-6-0,53.9%,4.1,-0.6
USC,7-6-0,53.9%,6.1,+0.3
Rutgers,7-6-0,53.9%,3.5,+1.3
Vanderbilt,7-6-0,53.9%,3.9,+7.9
Boston Col,7-6-0,53.9%,4.4,+5.9
UTSA,7-6-0,53.9%,3.1,-1.1
S Alabama,7-6-0,53.9%,9.2,+4.5
North Texas,6-7-0,46.2%,-0.6,-0.4
N Carolina,6-7-0,46.2%,2.8,-3.5
Fresno St,6-7-0,46.2%,1.2,-2.5
Oklahoma,6-7-0,46.2%,2.5,-2.2
California,6-7-0,46.2%,2.8,-1.0
Washington,6-7-0,46.2%,-0.4,-3.5
W Virginia,6-7-0,46.2%,-2.8,-2.8
VA Tech,6-7-0,46.2%,5.3,+0.7
NC State,6-7-0,46.2%,-1.6,-4.5
W Michigan,6-7-0,46.2%,-2.4,-2.5
Coastal Car,6-7-0,46.2%,-2.9,-3.0
App State,5-6-0,45.5%,-6.3,-6.9
Oregon St,5-7-0,41.7%,-5.7,-4.8
Cincinnati,5-7-0,41.7%,0.6,-1.3
Auburn,5-7-0,41.7%,6.4,-0.4
New Mexico,5-7-0,41.7%,-4.5,+0.7
Utah,5-7-0,41.7%,2.9,-2.1
UL Monroe,5-7-0,41.7%,-7.8,+3.0
Wisconsin,5-7-0,41.7%,-0.5,-1.3
E Michigan,5-7-0,41.7%,-2.0,-0.8
Air Force,5-7-0,41.7%,-4.3,-1.8
UCLA,5-7-0,41.7%,-6.8,+0.6
Kansas,5-7-0,41.7%,3.7,-0.6
Charlotte,5-7-0,41.7%,-11.4,-3.2
Virginia,5-7-0,41.7%,-6.1,-2.9
Michigan St,5-7-0,41.7%,-6.8,-6.2
Hawaii,5-7-0,41.7%,-3.7,-0.9
Old Dominion,5-7-0,41.7%,0.0,+4.5
LA Tech,5-8-0,38.5%,-0.1,+3.3
Florida Intl,4-8-0,33.3%,0.6,+2.4
UCF,4-8-0,33.3%,3.5,-3.2
Central Mich,4-8-0,33.3%,-7.1,-3.5
Utah St,4-8-0,33.3%,-5.8,+0.6
Arizona,4-8-0,33.3%,-10.0,-13.3
Houston,4-8-0,33.3%,-8.9,-0.9
Kentucky,4-8-0,33.3%,-1.5,-4.5
Rice,4-8-0,33.3%,-3.3,-1.7
Wake Forest,4-8-0,33.3%,-6.8,-2.7
Northwestern,4-8-0,33.3%,-8.5,-1.8
Akron,4-8-0,33.3%,-11.6,-0.4
Maryland,4-8-0,33.3%,-6.8,-5.6
Troy,4-8-0,33.3%,-2.4,+0.9
Stanford,3-9-0,25.0%,-10.8,-2.1
Oklahoma St,3-9-0,25.0%,-8.4,-7.3
Middle Tenn,3-9-0,25.0%,-16.2,-7.3
Wyoming,3-9-0,25.0%,-9.0,-1.5
San Diego St,3-9-0,25.0%,-8.3,-2.8
Fla Atlantic,3-9-0,25.0%,-4.3,-4.4
Temple,3-9-0,25.0%,-15.8,-2.1
Ball St,3-9-0,25.0%,-14.8,-1.7
Georgia St,3-9-0,25.0%,-10.0,-4.3
TX El Paso,3-9-0,25.0%,-12.8,-1.5
N Mex State,3-9-0,25.0%,-14.7,-1.8
Tulsa,3-9-0,25.0%,-17.5,-12.5
UAB,3-9-0,25.0%,-8.1,-1.8
Nevada,3-10-0,23.1%,-5.7,+1.5
Kennesaw St,2-10-0,16.7%,-14.7,+0.2
Florida St,2-10-0,16.7%,-12.6,-10.8
Miss State,2-10-0,16.7%,-8.3,+1.4
U Mass,2-10-0,16.7%,-13.0,-3.1
S Mississippi,1-11-0,8.3%,-22.5,-9.0
Purdue,1-11-0,8.3%,-24.2,-11.2
Kent St,0-12-0,0.0%,-30.2,-9.4